[00:00.0 → 00:05.3]  爸爸我又没缺为什么非要坐轮椅骗人
[00:05.3 → 00:07.7]  爸爸不是想骗人爸爸只是想知道谁会
[00:07.7 → 00:09.8]  因为你坐轮椅就嫌弃你谁又会把你当
[00:09.8 → 00:12.4]  成真正的孩子疼那他们要是都嫌弃我
[00:12.4 → 00:15.2]  呢那爸爸一个都不要可你不是说要
[00:15.2 → 00:17.9]  给我找个妈妈吗爸爸要找的不是妈妈
[00:17.9 → 00:19.8]  这个称号是一个不会在爸爸看不见
[00:19.8 → 00:22.6]  的时候让你受委屈的人你怎么把孩子
[00:22.6 → 00:25.8]  也带来了还是坐轮椅的他是我儿子你
[00:25.8 → 00:28.3]  早说你有这么大个拖累啊你条件再好
[00:28.3 → 00:31.2]  带个坐轮椅的孩子也太掉价了吧阿姨
[00:31.2 → 00:35.0]  给你糖别碰我我刚做的没假你带着这
[00:35.0 → 00:38.5]  种孩子出来相亲不是找老婆是找护工
[00:38.5 → 00:40.7]  吧以后我朋友问起来我怎么说说我嫁
[00:40.7 → 00:43.1]  过去就给人家当后妈你赶紧让司机把
[00:43.1 → 00:45.9]  孩子送走不用了了你什么意思啊你
[00:45.9 → 00:47.8]  不是嫌他丢人吗那你也不配进我的家
[00:47.8 → 00:53.4]  门孩子我可以接受但婚前必须说清楚
[00:53.4 → 00:55.6]  他以后不能分你的钱你还没进门就
[00:55.6 → 00:59.0]  开始分财产这叫现实房子车间写我名
[00:59.0 → 01:01.4]  工资卡也得交给我孩子以后康复上学
[01:01.4 → 01:03.6]  请保姆这些钱都不能影响我的生活质
[01:03.6 → 01:07.1]  量如果他真的一辈子坐轮椅那就更得
[01:07.1 → 01:09.4]  请人照顾我不可能给别人孩子当免费
[01:09.4 → 01:11.1]  保姆也不可能让一个坐轮椅的孩子拖
[01:11.1 → 01:13.6]  累我的后半生你不是来相亲的那我是
[01:13.6 → 01:16.7]  什么你是来坐账的现实一点我没有错
[01:16.7 → 01:19.7]  你带着这种孩子本来就做补偿我了慢
[01:19.7 → 01:28.4]  点门口的台阶别看孩子小朋友冷不冷
[01:28.4 → 01:30.3]  坐久了腿会不舒服吧阿姨给你拿个软
[01:30.3 → 01:33.8]  垫阿姨你不嫌我麻烦吗你这么可爱哪
[01:33.8 → 01:36.3]  里麻烦了小孩来吃饭阿姨高兴还来不
[01:36.3 → 01:41.0]  及想吃什么阿姨给你做阿姨我想吃红
[01:41.0 → 01:44.1]  烧排骨不用已经很麻烦你了红烧排骨
[01:44.1 → 01:46.6]  又要焯水炒糖色看火太费事了现在做
[01:46.6 → 01:49.1]  红烧排骨哪有麻烦别再用老一套方法
[01:49.1 → 01:51.8]  做红烧排骨了每天上班累的骨头都快
[01:51.8 → 01:54.5]  散架回家想吃口硬菜可以想到还要在
[01:54.5 → 01:57.7]  焖热厨房里切葱姜蒜忍着油烟炒糖色
[01:57.7 → 02:00.1]  稍不注意油花四溅烫到手吃完还得刷
[02:00.1 → 02:02.7]  油腻腻的炒锅和灶台是不是瞬间就想
[02:02.7 → 02:05.7]  点外卖今天我就让你看看红烧排骨还
[02:05.7 → 02:08.1]  能这么简单只要家里有个电饭波饭店
[02:08.1 → 02:10.6]  级别的软烂红烧排骨闭着眼睛都能做
[02:10.6 → 02:13.3]  出来家里那些落灰的八角桂皮酱油老
[02:13.3 → 02:16.3]  抽通通先靠边站排骨冷水下锅焯水捞
[02:16.3 → 02:18.8]  出来用温水洗干净直接放进电包锅里
[02:18.8 → 02:21.5]  重点来了撕开这一包包汁红烧酱料
[02:21.5 → 02:24.3]  直接倒进去这里面是大厨调好的黄金
[02:24.3 → 02:27.0]  比例咸淡上色香味都配好了根本不用
[02:27.0 → 02:29.6]  你再猜少许到底是多少再加半碗清水
[02:29.6 → 02:32.1]  盖上盖子按下煮饭键搞定接下来你
[02:32.1 → 02:34.4]  就可以离开厨房了不用吸油烟不用守
[02:34.4 → 02:37.0]  着火你去洗个澡敷个面膜刷两极具都
[02:37.0 → 02:39.9]  行等电饭波叮的一声直接开饭你看这
[02:39.9 → 02:43.3]  出锅的颜色不加一滴老抽照样红亮优
[02:43.3 → 02:45.8]  人排骨吸满浓郁酱汁筷子轻轻一戳就
[02:45.8 → 02:48.7]  脱骨软烂入味特别下饭关键是吃完只
